name,Weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (Beta-Carotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid,EPA,DHA
사과상추무침,44,"반찬_나물,무침,샐러드_부찬",46.83,0.4657,2.2,6.9492,1.489,13.83,0.3314,340.34,0,21.14833333,0.02499,0.09301,0.54,0.9407544,0.0187916,0,0
사과상추겉절이,44,"반찬_나물,무침,샐러드_부찬",47.86,0.5064,2.2046,7.1363,1.563,14.09,0.3353,66.65,0,44.12333333,0.02574,0.09846,0.4297,0.9440467,0.0191386,0,0
상추배생채,44,"반찬_나물,무침,샐러드_부찬",44.83,0.4837,2.2,6.3852,1.509,13.43,0.3174,340.34,0,20.965,0.02479,0.09781,0.846,0.9413344,0.0181596,0,0
치커리배무침,44,"반찬_나물,무침,샐러드_부찬",44.83,0.5472,2.1955,6.3377,1.389,13.68,0.3414,351.34,0,53.215,0.01539,0.07956,0.914,0.9485464,0.0292336,0,0
배오이생채,44,"반찬_나물,무침,샐러드_부찬",43.03,0.5452,2.1755,5.8827,1.224,7.03,0.1889,338.19,0,36.03583333,0.01339,0.07201,2.2525,0.9449304,0.0194701,0,0
오이생채,44,"반찬_나물,무침,샐러드_부찬",38.03,0.6797,2.168,4.4702,1.049,9.13,0.2074,337.64,0,13.82333333,0.01119,0.06721,3.669,0.9401374,0.0199706,0,0
오이파프리카무침,43,"반찬_나물,무침,샐러드_부찬",29.87,0.6369,1.1869,4.7599,1.113,7.12,0.2105,337.03,0,16.40833333,0.01148,0.07811,17.332,0.5300166,0.0180118,0,0
오징어실채무침,19.5,"반찬_나물,무침,샐러드_부찬",47.695,3.9075,1.371,5.0494,0.796,5.675,0.58535,231.35,0,13.73708333,0.020265,0.102345,0,0.52411205,0.0129852,0,0
오징어채무침,13.7,"반찬_나물,무침,샐러드_부찬",42.469,3.08802,1.42122,4.50746,0.8082,6.243,0.47953,111.114,0,13.73925,0.018275,0.073129,0,0.56036175,0.01332822,0,0
유채나물된장무침,41,"반찬_나물,무침,샐러드_부찬",32.39,1.5351,2.1773,2.2818,1.152,71.56,0.6639,104.69,0,81.38833333,0.02702,0.09298,15.576,0.8440217,0.0702892,0,0
유채나물무침,39.7,"반찬_나물,무침,샐러드_부찬",31.179,1.38362,2.19357,2.11026,1.1822,71.753,0.53763,35.514,0,81.3905,0.012835,0.093894,15.59235,0.88028945,0.07063222,0,0
유채나물,39.5,"반찬_나물,무침,샐러드_부찬",30.165,1.35885,2.1033,2.0645,1.156,70.065,0.53205,28.785,0,81.38833333,0.012015,0.0947,15.576,0.8440217,0.0702892,0,0
일미무침,16,"반찬_나물,무침,샐러드_부찬",45.92,3.7012,2.2896,2.5354,0.437,5.08,0.5399,195.95,0,9.066666667,0.0181,0.05444,0,0.891646,0.0151731,0,0
자두샐러드,40,"반찬_나물,무침,샐러드_부찬",43.75,0.2695,3.885,2.195,0.295,3.6,0.131,23.45,0.45,2.95,0.02765,0.01895,10.8675,1.9665405,0.293569,0,0
쥐포무침,15.5,"반찬_나물,무침,샐러드_부찬",63.775,4.3813,3.2218,4.029,0.042,14.085,0.54245,258.81,0,1.474583333,0.009425,0.039985,0,1.34320715,0.0767045,0,0
진미채무침,10,"반찬_나물,무침,샐러드_부찬",31.78,3.0116,1.607,1.2117,0.141,11.29,0.4254,98.42,0,0.02,0.00985,0.04042,0,0.597523,0.0070558,0,0
참나물배겉절이,45,"반찬_나물,무침,샐러드_부찬",42.02,0.8456,2.2069,5.3155,1.532,15.04,0.4666,99.86,0,39.85166667,0.01379,0.11143,1.247,0.9526439,0.0292174,0,0
치커리겉절이,45,"반찬_나물,무침,샐러드_부찬",36.72,1.0796,2.2364,3.6775,1.502,36.04,0.8131,143.86,0,75.5475,0.01604,0.12058,0.8095,0.9515019,0.0559239,0,0
참나물겉절이,45,"반찬_나물,무침,샐러드_부찬",38.12,1.0376,2.2294,4.0765,1.712,23.44,0.6661,102.56,0,60.17666667,0.01184,0.11848,1.4045,0.9590234,0.0370414,0,0
참나물들깨무침,45,"반찬_나물,무침,샐러드_부찬",45.81,1.602,3.3645,2.8581,1.602,35.45,0.9766,156.38,0,47.9875,0.03576,0.06925,1.4045,1.0098258,0.7724173,0,0
참나물무침,39.2,"반찬_나물,무침,샐러드_부찬",26.346,0.61236,2.06084,1.6444,0.9426,21.291,0.53289,37.264,0,47.78958333,0.002601,0.038412,1.42682,0.85453151,0.02971825,0,0
