name,Weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (Beta-Carotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid,EPA,DHA
S꼬마김밥,56.8,간식_모두,127.955,2.6162,3.1769,21.9613,0.457,15.475,0.9238,174.811,0,98.16,0.09211,0.0919,8.9864,1.3484598,0.0779708,0,0
S달걀채소볶음밥,59.8,간식_모두,127.796,3.77365,2.42458,21.61873,0.1365,12.217,0.7853,70.498,20.4,3.167,0.07607,0.10559,18.1518,0.75862215,0.07232664,0,10.608
S쇠고기파프리카볶음밥,58.8,간식_모두,137.436,4.15635,3.55218,21.20143,0.1525,5.197,0.7624,57.508,1.44,3.602833333,0.06619,0.06622,20.8009,0.62841845,0.07080894,0,0
S쇠고기볶음밥,57.8,간식_모두,138.486,4.14955,3.54428,21.46733,0.3495,6.457,0.6628,58.478,1.44,23.11616667,0.06562,0.05778,1.2399,0.63014145,0.06895514,0,0
S달걀볶음밥,60.8,간식_모두,129.246,3.78595,2.41898,21.97883,0.3495,13.657,0.7024,71.528,20.4,23.11616667,0.07624,0.09873,1.1283,0.76086615,0.07076594,0,10.608
S떡국,34.9,간식_모두,71.482,2.36965,0.2287,14.97355,0.2265,45.701,0.3314,223.087,0,0.024333333,0.0056,0.0085,0.2793,0.03782455,0.0017878,6.0204,20.804
S핫케이크,74,간식_모두,230.675,5.345,4.9904,39.04515,0,71.85,0.3425,382.725,18.45,0,0.064,0.209475,0.1185,0.85405575,0.1013202,0.126,5.304
S(저당)씨리얼,40,간식_모두,157.6,2.72,1.116,34.132,1.32,4.4,3.588,220.4,403.2,0,0.6464,1.3616,62.108,0.390232,0.016224,0,0
S감자샐러드,76.5,간식_모두,90.715,1.8186,4.5574,11.06735,2.1075,12.67,0.4924,23.29,1,0.042083333,0.043435,0.04459,7.357,0.20000205,0.00165085,0,0
S감자건포도샐러드,80,간식_모두,96.85,1.599,3.8345,14.7105,2.115,10.75,0.493,24.55,1,0.0375,0.0468,0.0769,7.3685,0.0094295,0.001968,0,0
S감자채요거트샐러드,78,간식_모두,64.15,2.0114,0.5497,13.4293,1.975,27.33,0.4239,7.93,7.67,0.016666667,0.04253,0.09055,6.4891,0.0187025,0.0034441,0,0
S개피떡,80,간식_모두,165.6,3.44,0.64,36.48,0,13.6,0.96,124,0,0,0.04,0.032,0,0,0,0,0
S개피떡(40g),40,간식_모두,82.8,1.72,0.32,18.24,0,6.8,0.48,62,0,0,0.02,0.016,0,0,0,0,0
S파인애플,50,간식_모두,26.5,0.23,0.02,7.16,1.25,8,0.045,0,0,2.583333333,0.026,0.0435,22.715,0.00369,0.003715,0,0
S거봉,100,간식_모두,61,0.43,0.04,16.38,0.4,4,0.17,1,0,2.166666667,0.026,0.047,0.13,0.01189,0.00609,0,0
S건포도감자볼,35,간식_모두,34.95,0.735,0.0385,8.4685,1.035,6.3,0.246,1.65,0,0.016666667,0.0218,0.0636,3.1645,0.0059615,0.001232,0,0
S검은깨두유(100ml),100,간식_모두,77,3.4,3.15,8.76,1.4,119,0.52,65,0,0,0.023,0.018,0.34,1.51952,0.15269,0,0
S검은깨두유(150ml),150,간식_모두,115.5,5.1,4.725,13.14,2.1,178.5,0.78,97.5,0,0,0.0345,0.027,0.51,2.27928,0.229035,0,0
S검은깨두유(200ml),200,간식_모두,154,6.8,6.3,17.52,2.8,238,1.04,130,0,0,0.046,0.036,0.68,3.03904,0.30538,0,0
S검은콩우유(100ml),100,간식_모두,86,3.21,3.77,9.87,0.9,23,0.42,77,0,0,0.061,0.019,0.15,1.50895,0.17752,0,0
S검은콩우유(150ml),150,간식_모두,129,4.815,5.655,14.805,1.35,34.5,0.63,115.5,0,0,0.0915,0.0285,0.225,2.263425,0.26628,0,0
S검은콩우유(200ml),200,간식_모두,172,6.42,7.54,19.74,1.8,46,0.84,154,0,0,0.122,0.038,0.3,3.0179,0.35504,0,0
S아몬드,2,간식_모두,11.36,0.5148,0.9322,0.4364,0.192,8.18,0.0748,10.98,0,0.018333333,0.00026,0.02878,0,0.217333,0.0012142,0,0
S땅콩,2,간식_모두,11.34,0.57,0.9248,0.3982,0.21,1.34,0.0402,0.08,0,0.008333333,0.0017,0.00414,0,0.3428858,0.0006108,0,0
S호두,2,간식_모두,13.42,0.32,1.368,0.21,0,1.58,0.066,0.94,0,0.038333333,0.0038,0.0058,0,0,0,0,0
S견과류,6,간식_모두,36.12,1.4048,3.225,1.0446,0.402,11.1,0.181,12,0,0.065,0.00576,0.03872,0,0.5602188,0.001825,0,0
S달걀토스트,111.2,간식_모두,156.144,6.8521,5.6168,19.1757,1.35,77.212,0.628,200.392,54.7,23.43866667,0.08062,0.27669,0.84,0.93161,0.0883818,1.233,14.144
S계란토스트,101,간식_모두,152.55,6.731,5.6001,18.3576,1.11,74.7,0.565,199,54.7,0.425,0.0768,0.2726,0.395,0.926589,0.0879388,1.233,14.144
S고구마경단,61,간식_모두,110.66,1.1166,1.0742,24.2036,1.726,11.15,0.3002,10.58,10.98,3.18,0.03546,0.03352,3.572,0.085602,0.0070994,0.18,2.8848
S고구마맛탕,65.1,간식_모두,185.089,0.52728,10.0283,22.83992,1.3693,8.816,0.23032,3.501,0,1.335583333,0.032973,0.015701,3.56,5.11219728,0.65870717,0,0
S고구마쉐이크,190,간식_모두,175.5,4.847,4.723,28.202,2.1,166.7,0.28,53.9,77,1.541666667,0.0594,0.2393,8.786,0.138737,0.01575,1.176,0
S곶감,40,간식_모두,85.6,0.772,0.032,22.98,3.4,5.6,0.248,0.4,0,9.533333333,0.0036,0.0972,1.068,0,0.005044,0,0
S푸실리샐러드,40,간식_모두,68.85,2.1005,0.085,14.405,0.535,3.2,0.2635,53.85,0,6.920833333,0.02515,0.02925,11.434,0.0116505,0.0031255,0,0
S토마토두부샐러드,70,간식_모두,96.25,2.651,5.966,8.0795,1.23,17.15,0.478,240.2,0,7.391666667,0.02205,0.1633,12.2415,0.9054615,0.116793,0,0
S과일샐러드,55,간식_모두,58.65,0.345,3.8135,6.399,0.545,9.8,0.085,22.75,1,2.208333333,0.0301,0.01525,11.2375,0.004065,0.0002795,0,0
S과일샐러드(마요네즈),55,간식_모두,59.35,0.335,3.8125,6.6,0.675,10.1,0.09,22.75,1,2.416666667,0.0285,0.01225,11.1025,0.00373,0.0002725,0,0
S과일연두부스무디,85,간식_모두,60.25,1.901,1.146,11.1435,0.54,22.6,0.54,2.2,0,1.916666667,0.07835,0.0158,8.882,0.002984,0.000218,0,0
S귤,80,간식_모두,31.2,0.56,0.08,7.92,0,10.4,0,8.8,0,0.333333333,0.104,0.032,35.2,0,0,0,0
S귤(50g),50,간식_모두,19.5,0.35,0.05,4.95,0,6.5,0,5.5,0,0.208333333,0.065,0.02,22,0,0,0,0
S꿀떡,40,간식_모두,84,1.236,0.584,18.456,0.64,10,0.152,99.2,0,0,0,0.0048,0,0.27096,0.01322,0,0
S꿀호떡,40,간식_모두,84,1.236,0.584,18.456,0.64,10,0.152,99.2,0,0,0,0.0048,0,0.27096,0.01322,0,0
S시루떡,40,간식_모두,73.2,2.332,0.164,15.576,1.24,7.2,0.352,93.2,0,0.066666667,0.012,0.0124,0,0.059528,0.012896,0,0
S노란시루떡,40,간식_모두,73.2,2.332,0.164,15.576,1.24,7.2,0.352,93.2,0,0.066666667,0.012,0.0124,0,0.059528,0.012896,0,0
S단감,50,간식_모두,25.5,0.205,0.02,6.83,3.2,3,0.075,0,0,3.375,0.0285,0.0255,6.975,0,0.005105,0,0
S감말랭이,30,간식_모두,76.5,0.582,0.048,20.583,3.36,6.3,0.192,0.9,0,13.725,0.003,0.0672,1.533,0,0.008601,0,0
S단팥도너츠,30,간식_모두,104.1,1.98,4.59,13.71,0,8.1,0.3,56.4,7.8,0,0.03,0.021,0,0,0,0,0
S모카빵,30,간식_모두,106.2,2.493,2.259,18.987,0.42,7.8,0.231,94.8,7.5,0.775,0.0162,0.0351,0,0.367338,0.02382,0,2.352
S단팥빵,30,간식_모두,75.9,2.271,0.951,14.553,1.89,7.5,0.297,54,7.8,0.325,0.0135,0.0291,0,0.117084,0.021168,0,1.347
S단호박떡케익,53,간식_모두,131.61,2.098,0.4003,29.2748,1.18,4.02,0.3159,0.63,0,61.16666667,0.033,0.05102,2.426,0.12564,0.019496,0,0
S단호박설기,55.5,간식_모두,124.11,1.8475,0.38805,28.03245,1.4,4.6,0.2965,180.675,0,76.45833333,0.03,0.0687,3.0325,0.11955,0.022995,0,0
S단호박식혜,60,간식_모두,127.9,2.462,0.507,29.203,3.54,9.5,1.114,1.9,0,92.4,0.1125,0.1413,3.639,0.193833,0.041442,0,0
S달걀부추빵,72,간식_모두,173.9,4.9555,8.3987,19.5097,0.785,24.1,1.0255,122.35,22.35,24.75,0.0387,0.12775,0.901,3.4039075,0.4458146,0,10.608
S달걀미나리빵,72,간식_모두,173.9,4.957,8.3912,19.5622,1.31,26.65,0.574,122.65,22.35,35.7,0.0177,0.1456,0.7015,3.4194835,0.4559981,0,10.608
S닭가지볶음밥,81.8,간식_모두,144.826,5.77885,2.95998,22.73803,0.822,10.122,0.5721,155.138,1.5,35.267,0.10206,0.096865,1.3361,1.3847893,0.16673364,0,0
S당근두부스넥,24.3,간식_모두,81.794,1.79567,3.5376,10.14315,0.4944,8.926,0.20189,104.7,3.4,9.202583333,0.020316,0.038963,0.0819,1.7376301,0.21684097,0,1.768
S당근스틱,30,간식_모두,9.3,0.306,0.039,2.109,0.93,7.2,0.084,6.9,0,137.9,0.0111,0.0186,0.906,0.024906,0.00237,0,0
S두부,40,간식_모두,38.8,3.848,1.852,1.5,1.16,25.6,0.616,0.4,0,0,0.0128,0.0716,0,0.954316,0.155028,0,0
S연두부,70,간식_모두,43.4,2.94,1.96,3.29,0,26.6,0.84,3.5,0,0,0.098,0.014,0,0,0,0,0
S연두부+양념장,72.2,간식_모두,50.234,3.09207,2.54887,3.52096,0.0417,29.133,0.89108,51.414,0,0.373,0.09923,0.037189,0.06845,0.24459475,0.00322737,0,0
S두유(100ml),100,간식_모두,70,4.4,3.6,4.7,0,17,0.7,135,0,0,0.04,0.04,0,0,0,0,0
S두유(150ml),150,간식_모두,105,6.6,5.4,7.05,0,25.5,1.05,202.5,0,0,0.06,0.06,0,0,0,0,0
S두유(200ml),200,간식_모두,140,8.8,7.2,9.4,0,34,1.4,270,0,0,0.08,0.08,0,0,0,0,0
S둥글레차,100,간식_모두,1,0,0.01,0.27,0,1,0.02,0,0,0,0,0.035,0.52,0.00036,0,0,0
S딸기,100,간식_모두,36,0.8,0.2,8.9,0,7,0.4,13,0,0,0.03,0.02,71,0,0,0,0
S딸기쨈식빵,40,간식_모두,114,2.759,1.484,22.409,1.22,9.5,0.202,154.9,0,0.425,0.0577,0.1148,2.032,0.166871,0.017017,0.813,0
S떠먹는요구르트(100ml),100,간식_모두,70,5.18,3.84,3.36,1,141,0.03,46,59,0,0.021,0.145,1.32,0.078,0.01277,0,0
S레몬주스,100,간식_모두,38,0,0,9.56,0,0,0,1,0,0,0,0,3.46,0.00043,0,0,0
S롤빵,30,간식_모두,94.8,3.03,2.7,14.58,0.6,13.2,0.21,147,0,0.375,0.03,0.018,0,0.33,0.036,0,0
S마늘빵,30,간식_모두,127.2,2.94,5.16,17.25,0.9,11.7,1.62,167.4,7.8,1.425,0.054,0.036,0,0,0,0,0
S마들렌,30,간식_모두,122.4,1.698,6.213,14.895,0.27,15.6,0.222,62.1,42.9,1.275,0.0177,0.0429,0,0.649713,0.183195,3.99,4.695
S망고주스,100,간식_모두,28,0.04,0.01,7.71,0,4,0.02,9,0,10.75,0,0.003,13.77,0.00081,0.00132,0,0
S매실젤리,20.5,간식_모두,38.105,0.079,0.002,9.4405,0.06,1.015,0.04465,2.73,0,0,0.005615,0.010805,0.114,0.000096,0,0,0
S매실쥬스,5,간식_모두,9.05,0.01,0.0005,2.247,0.015,0.25,0.011,0.1,0,0,0.0014,0.00265,0.0285,0.000024,0,0,0
S매실주스,100,간식_모두,55,0.1,0.2,13.1,0,1,0.3,5,0,6.5,0.01,0.06,4,0,0,0,0
S매실차,100,간식_모두,55,0.1,0.2,13.1,0,1,0.3,5,0,6.5,0.01,0.06,4,0,0,0,0
S머핀,30,간식_모두,70.5,2.31,0.54,13.8,0.81,15.6,0.267,139.2,0,0,0.0543,0.0462,0.03,0,0,0,0
S멜론,50,간식_모두,20,0.75,0.02,4.82,1,3.5,0.17,6.5,0,1.208333333,0.016,0.0165,1.01,0.002635,0.005335,0,0
S멜론(100g),100,간식_모두,40,1.5,0.04,9.64,2,7,0.34,13,0,2.416666667,0.032,0.033,2.02,0.00527,0.01067,0,0
S멜론(75g),75,간식_모두,30,1.125,0.03,7.23,1.5,5.25,0.255,9.75,0,1.8125,0.024,0.02475,1.515,0.0039525,0.0080025,0,0
S멜론퓨레,80,간식_모두,32,1.2,0.032,7.712,1.6,5.6,0.272,10.4,0,1.933333333,0.0256,0.0264,1.616,0.004216,0.008536,0,0
S쇠고기주먹밥,53.6,간식_모두,151.807,3.9675,5.3322,20.7811,0.383,6.311,0.6583,178.841,1.44,37.711,0.0623,0.04298,1.4292,1.3803874,0.0789219,0,0
S닭고기주먹밥,56.6,간식_모두,138.217,5.1834,3.2469,20.7811,0.383,6.311,0.4699,178.991,1.5,37.711,0.09167,0.02168,1.3176,1.3722016,0.0781617,0,0
S멸치주먹밥,51.6,간식_모두,144.767,6.0319,3.5604,20.8131,0.383,67.711,0.5189,436.841,0,37.711,0.06342,0.02318,1.3176,1.3513746,0.0817747,59.892,185.397
S모닝빵,30,간식_모두,94.8,2.718,1.473,17.697,0.63,9.9,0.204,78,1.5,0.4,0,0.0399,0,0.259692,0.019794,0,0
S모닝빵+딸기잼,35,간식_모두,109.95,2.746,1.4785,21.4495,0.685,10.75,0.215,78.05,1.5,0.4,0.0035,0.0484,1.016,0.261361,0.0214415,0,0
S무지개떡,80,간식_모두,183.2,2.8,0.24,42.4,0.16,8,1.12,221.6,0,0.866666667,0.032,0.032,0,0,0,0,0
S무지개떡(40g),40,간식_모두,91.6,1.4,0.12,21.2,0.08,4,0.56,110.8,0,0.433333333,0.016,0.016,0,0,0,0,0
S물만두,50,간식_모두,104,4.69,3.29,13.895,2.9,32.5,1.55,130.5,0,5.208333333,0.224,0.0355,0,0.53686,0.03575,0,0
S미숫가루,17.5,간식_모두,69.375,2.178,0.82225,13.9245,1.92,8.2,0.60175,0.925,0,0,0.0042,0.0858,0,0.3954525,0.0655005,0,0
S바나나,50,간식_모두,42,0.55,0.05,10.97,0.95,3.5,0.145,0,0,1.041666667,0.0245,0.0375,2.97,0.012375,0.00488,0,0
S바나나(100g),100,간식_모두,84,1.1,0.1,21.94,1.9,7,0.29,0,0,2.083333333,0.049,0.075,5.94,0.02475,0.00976,0,0
S연두부샐러드(오리엔탈드레싱),43.1,간식_모두,31.537,1.98022,1.46836,2.56929,0.0367,17.274,0.55794,100.288,0,3.763833333,0.059771,0.051132,0.20972,0.07624348,0.002128,0,0
S바나나사과키위샐러드,120,간식_모두,83.55,1.338,0.6945,20.032,1.995,26.5,0.433,5.1,5.9,2.291666667,0.0591,0.06615,21.5955,0.025397,0.0065385,0,0
S바나나쉐이크,250,간식_모두,181.5,5.72,5.08,30.235,1.9,176.5,0.365,54,82.5,2.083333333,0.0805,0.318,7.125,0.13542,0.02116,1.26,0
S바나나핫케이크,87,간식_모두,157.26,3.8214,3.5203,27.1507,0.57,58.97,0.3075,200.61,21.91,0.625,0.05213,0.16614,1.9795,0.5988074,0.0718568,0.21,4.2432
S바람떡,60,간식_모두,124.2,2.58,0.48,27.36,0,10.2,0.72,93,0,0,0.03,0.024,0,0,0,0,0
S바람떡(40g),40,간식_모두,82.8,1.72,0.32,18.24,0,6.8,0.48,62,0,0,0.02,0.016,0,0,0,0,0
S밤설기,80,간식_모두,182.4,2.88,0.32,42,0.48,5.6,1.12,231.2,0,0,0.024,0,0.8,0,0,0,0
S밤설기(40g),40,간식_모두,91.2,1.44,0.16,21,0.24,2.8,0.56,115.6,0,0,0.012,0,0.4,0,0,0,0
S밤식빵,40,간식_모두,98.8,3.031,1.523,18.243,1.65,9.4,0.264,154.9,0,0.666666667,0.0589,0.1043,1.598,0.185422,0.019792,0.813,0
S밥새우주먹밥,46.9,간식_모두,131.275,6.1701,1.97836,20.94486,0.192,329.843,1.6715,417.778,0,19.108,0.07489,0.01682,6.836,0.6777698,0.06806748,0,0
S방울토마토,35,간식_모두,8.75,0.35,0.0455,2.107,0.735,3.5,0.1295,1.75,0,20.825,0.0077,0.03045,3.9795,0.021644,0.0024535,0,0
S방울토마토(70g),70,간식_모두,17.5,0.7,0.091,4.214,1.47,7,0.259,3.5,0,41.65,0.0154,0.0609,7.959,0.043288,0.004907,0,0
S배,50,간식_모두,23,0.15,0.02,6.175,0.7,0.5,0.025,0,0,0,0.008,0.0245,1.38,0.009135,0.00058,0,0
S배(100g),100,간식_모두,46,0.3,0.04,12.35,1.4,1,0.05,0,0,0,0.016,0.049,2.76,0.01827,0.00116,0,0
S백설기(80g),80,간식_모두,182.4,2.88,0.32,42,0.48,5.6,1.12,231.2,0,0,0.024,0,0.8,0,0,0,0
S백설기,40,간식_모두,91.2,1.44,0.16,21,0.24,2.8,0.56,115.6,0,0,0.012,0,0.4,0,0,0,0
S베지밀,200,간식_모두,140,8.8,7.2,9.4,0,34,1.4,270,0,0,0.08,0.08,0,0,0,0,0
S보리떡(40g),40,간식_모두,125.6,10.64,1.92,23.4,0,171.6,2.56,112.8,0,43.66666667,2.304,1.584,18.8,0,0,0,0
S보리차,100,간식_모두,0,0,0,0.07,0,2,0,1,0,0,0,0,0,0.00031,0,0,0
S복숭아,80,간식_모두,25.6,0.744,0.04,6.28,3.04,4.8,0.152,0,0,6.266666667,0.0224,0.0144,1.352,0.014176,0.004504,0,0
S복숭아(60g),60,간식_모두,19.2,0.558,0.03,4.71,2.28,3.6,0.114,0,0,4.7,0.0168,0.0108,1.014,0.010632,0.003378,0,0
S복숭아(천도),80,간식_모두,25.6,0.744,0.04,6.28,3.04,4.8,0.152,0,0,6.266666667,0.0224,0.0144,1.352,0.014176,0.004504,0,0
S복숭아(천도)-60g,60,간식_모두,19.2,0.558,0.03,4.71,2.28,3.6,0.114,0,0,4.7,0.0168,0.0108,1.014,0.010632,0.003378,0,0
S복숭아(백도),80,간식_모두,39.2,0.472,0.032,10.48,2.08,3.2,0.088,0,0,0.2,0.0176,0.0184,1.68,0.00852,0.006944,0,0
S복숭아(백도)-60g,60,간식_모두,29.4,0.354,0.024,7.86,1.56,2.4,0.066,0,0,0.15,0.0132,0.0138,1.26,0.00639,0.005208,0,0
S복숭아(황도),80,간식_모두,39.2,0.32,0.032,10.424,3.44,4,0.072,1.6,0,7,0.0144,0.0176,1.336,0.0086,0.005008,0,0
S복숭아(황도)-60g,60,간식_모두,29.4,0.24,0.024,7.818,2.58,3,0.054,1.2,0,5.25,0.0108,0.0132,1.002,0.00645,0.003756,0,0
S복숭아호두스무디,185,간식_모두,138.6,4.3255,6.9515,16.406,2.415,120.25,0.2625,36.15,55,0.308333333,0.04095,0.1945,2.47,2.154785,0.5876135,0.84,0
S블루베리,50,간식_모두,24,0.275,0.045,6.285,1.5,4.5,0.115,0,0,1.083333333,0.0085,0.0655,0,0.016125,0.00825,0,0
S블루베리바나나쉐이크,230,간식_모두,213,5.617,10.633,27.028,3.61,130.7,0.611,36.3,55,2.766666667,0.0653,0.3138,4.354,4.25295,1.169495,0.84,0
S사과,50,간식_모두,26.5,0.1,0.015,7.18,1.35,2,0.05,0,0,1.041666667,0,0.0095,0.705,0.00746,0.000545,0,0
S사과(100g),100,간식_모두,53,0.2,0.03,14.36,2.7,4,0.1,0,0,2.083333333,0,0.019,1.41,0.01492,0.00109,0,0
S사과(35g),35,간식_모두,18.55,0.07,0.0105,5.026,0.945,1.4,0.035,0,0,0.729166667,0,0.00665,0.4935,0.005222,0.0003815,0,0
S사과(75g),75,간식_모두,39.75,0.15,0.0225,10.77,2.025,3,0.075,0,0,1.5625,0,0.01425,1.0575,0.01119,0.0008175,0,0
S사과샐러드(마요네즈),55,간식_모두,61.6,0.16,3.795,7.39,1.35,2.85,0.065,22.5,1,1.0625,0.001,0.012,0.705,0.00746,0.000545,0,0
S삶은감자,80,간식_모두,53.6,1.608,0.032,12.064,2.16,7.2,0.464,0.8,0,0,0.048,0.0216,8.408,0.006936,0.001472,0,0
S삶은계란,50,간식_모두,71.5,6.97,3.985,1.095,0,26,0.885,70,28,0.208333333,0.0365,0.2775,0,0.579895,0.01576,0,46.605
S삶은고구마,90,간식_모두,152.1,0.963,0.135,36.828,3.78,15.3,0.378,6.3,0,2.775,0.054,0.0225,13.824,0.063801,0.009198,0,0
S삶은달걀,30,간식_모두,40.8,3.732,2.211,1.023,0,15.6,0.54,39.3,40.8,0,0.0234,0.1407,0,0.328347,0.00726,0,21.216
S샌드위치,40,간식_모두,85.6,3.464,4.152,8.62,2.2,31.2,0.224,212.8,9.6,5,0.1492,0.0412,2.924,0.759656,0.109784,1.452,0
S소보로빵,30,간식_모두,124.5,2.85,4.362,18.432,1.23,10.5,0.213,92.1,5.7,1.2,0.0108,0.0333,0,0.618669,0.017124,0,1.857
S송편,80,간식_모두,179.2,4.72,2.192,35.208,0.88,24.8,0.568,138.4,0,0,0.0208,0.0288,0,1.002808,0.145424,0,0
S송편(40g),40,간식_모두,89.6,2.36,1.096,17.604,0.44,12.4,0.284,69.2,0,0,0.0104,0.0144,0,0.501404,0.072712,0,0
S수리취떡,80,간식_모두,164.8,3.6,0.64,36.16,0,19.2,1.44,125.6,0,0.733333333,0.04,0.032,0,0,0,0,0
S수리취떡(40g),40,간식_모두,82.4,1.8,0.32,18.08,0,9.6,0.72,62.8,0,0.366666667,0.02,0.016,0,0,0,0,0
S수박,100,간식_모두,31,0.79,0.05,7.83,0.2,6,0.18,0,0,71.08333333,0.024,0.03,0,0.01386,0.00293,0,0
S수제바나나우유,150,간식_모두,107,3.63,3.37,16.5,0.95,116.5,0.195,36,55,1.041666667,0.0455,0.1995,3.76,0.086155,0.01248,0.84,0
S수제블루베리바나나우유,190,간식_모두,120.3,4.895,5.017,14.26,1.09,172.9,0.173,54,82.5,0.858333333,0.0415,0.2898,1.779,0.12282,0.017326,1.26,0
S수제딸기우유,250,간식_모두,148,6.56,6.74,15.51,0,229.5,0.3,78.5,110,0,0.057,0.334,37.08,0.14756,0.0152,1.68,0
S수제블루베리우유,275,간식_모두,166,6.5725,6.7075,20.4875,2.25,232.75,0.2725,72,110,1.625,0.05475,0.42225,1.58,0.1717475,0.027575,1.68,0
S크림빵,30,간식_모두,82.5,1.8,2.31,13.65,0,12,0.27,48,5.4,0.25,0.024,0.027,0,0,0,0,0
S슈크림빵,30,간식_모두,82.5,1.8,2.31,13.65,0,12,0.27,48,5.4,0.25,0.024,0.027,0,0,0,0,0
S스크램블드에그,37.2,간식_모두,59.27,3.8978,4.0178,1.3357,0,21.65,0.5435,108.494,53.99,0.038333333,0.02445,0.14972,0.0395,0.3624958,0.01114,0.042,21.216
S치즈스크램블에그,42.3,간식_모두,89.247,5.6193,6.3313,1.7195,0,78.561,0.5689,199.34,46.5,2.277666667,0.02941,0.15792,0.007,1.364709,0.1527716,2.211,21.216
S스크램블에그,42.3,간식_모두,65.947,4.0513,4.5333,1.6555,0,27.261,0.5649,110.14,46.3,0.011,0.02561,0.15712,0.079,1.350261,0.1391736,0.084,21.216
S시금치스크램블에그,52.3,간식_모두,69.247,4.3613,4.5833,2.2555,0,31.261,0.8249,115.54,46.3,23.97766667,0.03761,0.19112,6.079,1.350261,0.1391736,0.084,21.216
S식빵+딸기잼,35,간식_모두,98.85,2.731,1.4785,18.6565,1.165,8.65,0.191,154.85,0,0.425,0.0542,0.1063,1.016,0.165202,0.0153695,0.813,0
S식혜,100,간식_모두,32,0.06,0,7.91,1,3,0.02,2,0,0,0,0.004,0,0.00034,0,0,0
S쌀씨리얼,40,간식_모두,156,2.66,0.672,34.796,0.76,103.6,7.5,250,483.2,0,1.3708,0.5588,67.984,0.343696,0.018348,0,0
S쌀음료,100,간식_모두,54,0.2,0.8,11.4,0,6,0,6,0,0.083333333,0.01,0,13,0,0,0,0
S쑥떡,88,간식_모두,174.96,3.224,0.4224,39.7952,1.272,16.72,0.7872,176.24,0,27.68666667,0.00944,0.03984,0.5256,0.1423432,0.020104,0,0
S쑥떡(40g),44,간식_모두,87.48,1.612,0.2112,19.8976,0.636,8.36,0.3936,88.12,0,13.84333333,0.00472,0.01992,0.2628,0.0711716,0.010052,0,0
S쑥설기,80,간식_모두,164.8,3.6,0.64,36.16,0,19.2,1.44,125.6,0,0.733333333,0.04,0.032,0,0,0,0,0
S쑥설기(40g),40,간식_모두,82.4,1.8,0.32,18.08,0,9.6,0.72,62.8,0,0.366666667,0.02,0.016,0,0,0,0,0
S씨리얼,40,간식_모두,151.2,2.044,0.236,35.22,1,1.2,3.584,173.6,969.2,3.2,2.0276,1.064,80.504,0.108808,0.007288,0,0
S아몬드사과도넛,68.3,간식_모두,130.19,4.3325,6.9568,13.7738,2.04,49.75,0.7402,116.361,16.35,0.4625,0.02575,0.23143,0.4785,1.945942,0.0740183,0.042,7.072
S애플파이,30,간식_모두,141.3,1.65,6.3,19.494,0.57,3.3,0.123,62.1,6,3.8,0.0195,0.0195,1.575,0.776844,0.052992,0,0
S약과,40,간식_모두,168.8,1.52,5.32,28.68,0,2,1.04,13.6,0,0,0.024,0.036,0,0,0,0,0
S약식,40,간식_모두,97.6,1.48,0.88,20.92,0.68,4.4,1.12,115.6,0,0,0.036,0.032,0,0,0,0,0
S오렌지,50,간식_모두,22,0.45,0.05,5.6,0,16.5,0.1,0.5,0,3.75,0.055,0.01,21.5,0,0,0,0
S오렌지(100g),100,간식_모두,44,0.9,0.1,11.2,0,33,0.2,1,0,7.5,0.11,0.02,43,0,0,0,0
S오렌지주스,100,간식_모두,34,0.5,0.04,8.94,1.8,32,0.07,1,0,0.5,0.044,0.019,44.12,0.00953,0.00406,0,0
S오렌지주스(무가당),100,간식_모두,39,0.66,0.05,10.04,2.3,12,0.08,2,0,1,0.062,0.013,58.76,0.01204,0.00477,0,0
S오미자차,5,간식_모두,12.95,0.005,0,3.23,0,0.85,0.255,0.4,0,0.008333333,0.0015,0.0105,0.55,0,0,0,0
S오색롤샌드위치,55,간식_모두,110.52,4.3839,2.6833,17.2566,1.477,52.38,0.2865,255.15,2.85,3.788333333,0.05954,0.12536,10.571,0.2369558,0.0279451,1.9185,0
S오이당근스틱,30,간식_모두,6.75,0.336,0.0225,1.512,0.57,6.3,0.072,3.9,0,69.7125,0.00585,0.0144,2.1405,0.0136815,0.0022065,0,0
S오이스틱,30,간식_모두,4.2,0.366,0.006,0.915,0.21,5.4,0.06,0.9,0,1.525,0.0006,0.0102,3.375,0.002457,0.002043,0,0
S크림스프,15,간식_모두,66.45,1.02,2.385,10.215,0,3.3,0,454.8,0,0,0.045,0.0225,0,0,0,0,0
S옥수수스프,96.3,간식_모두,129.367,3.0449,7.9697,11.4227,0,67.581,0.7111,90.33,50.62,4.871,0.09391,0.14046,0.465,0.0978096,0.0108,0.42,0
S옥수수씨리얼,40,간식_모두,151.2,2.044,0.236,35.22,1,1.2,3.584,173.6,969.2,3.2,2.0276,1.064,80.504,0.108808,0.007288,0,0
S요구르트,80,간식_모두,52,1.032,0.016,12.184,0.48,36,0.016,13.6,0,0,0.012,0.0512,0.368,0.000536,0,0,0
