Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S참치채소죽,,수수밥,뭇국,쇠고기당면볶음,쇠고기당면볶음,배추김치,S오렌지,S우유(100ml),기장밥,콩비지찌개,돼지고기오이볶음,세발나물초무침,깍두기
S들깨죽,,흑미밥,닭곰탕,두부간장조림,브로콜리된장무침,배추김치,S배,S우유(100ml),찹쌀현미밥,근대된장국,쇠고기청경채볶음,무나물,배추김치
S우유(200ml),,해물볶음밥,미소장국,도토리묵무침,,배추김치,S가래떡구이,S보리차,,,,,
S오트밀죽,,백미밥,애호박된장국,쇠고기산적,비름나물,배추김치,S도너츠,S우유(100ml),수수밥,우거지된장국,두부찹쌀가루부침,열무나물,깍두기
S누룽지죽,,찹쌀현미밥,조갯살맑은국,닭다리살콩가루부추찜,숙주나물,배추김치,S개피떡,S우유(100ml),흑미밥,감자고추장찌개,쇠고기채소볶음,애호박나물,배추김치
S단호박죽,,마파두부덮밥,버섯맑은국,양파링튀김,,배추김치,S키위,S우유(100ml),차조밥,미역국,닭떡간장조림,부추무침,깍두기
S쇠고기죽,,기장밥,달걀팟국,쇠고기떡볶음,감자조림,배추김치,S사과,S우유(100ml),완두콩밥,두부젓국찌개,어묵채소볶음,고사리나물,배추김치
S전복죽,,수수밥,청경채된장국,돼지갈비찜,시래기나물,깍두기,S토마토,S우유(100ml),백미밥,오징엇국,채소달걀말이,우엉조림,배추김치
S우유(200ml),,쇠고기콩나물밥+양념장,두부된장국,옥수수전,,배추김치,S단팥빵,S보리차,,,,,
S닭죽,,백미밥,두부맑은국,쇠고기버섯볶음,참나물겉절이,깍두기,S배,S우유(100ml),차조밥,시래기된장국,돼지불고기,청경채나물,깍두기
S근대죽,,찹쌀현미밥,어묵국,임연수엿장조림,돌나물무침,깍두기,S찐고구마,S우유(100ml),기장밥,팽이버섯된장국,쇠고기브로콜리볶음,참나물무침,깍두기
S채소죽,,참치김치볶음밥,미소장국,완자전,,배추김치,S단호박샐러드,S우유(100ml),흑미밥,떡국,임연수구이,근대나물,배추김치
