name,weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
견과류시금치무침,40.9,샐러드,33.693,1.87062,2.12675,2.83374,0.2802,21.209,1.04263,50.106,84.38483334,0.047205,0.146944,21.08735,416.89345,2.46176
고구마범벅,60,샐러드,141.85,3.2685,7.0215,16.123,1.08,100.9,0.221,165.1,13.74583333,0.036,0.0387,2.8585,2011.046,314.575
고구마샐러드,52,샐러드,117.94,0.6393,3.8636,20.7198,1.395,12.04,0.3083,27.79,1.819166667,0.03247,0.0909,2.8641,1983.0117,293.99
고구마샐러드(마요네즈),55,샐러드,99.65,0.5385,3.839,15.816,1.225,7.65,0.241,25.9,3.816666667,0.02865,0.02325,12.9655,1983.4925,295.765
고구마순나물,39.5,샐러드,25.535,0.34635,1.996,1.4512,0.796,33.765,0.20465,24.265,2.6025,0.008845,0.01666,0.8688,1016.8206,132.0096
고구마순된장무침,38.7,샐러드,11.191,0.50656,0.27527,1.66608,0.8006,34.12,0.28694,90.224,1.485583333,0.022956,0.013462,0.67197,85.44236,1.44299
고구마순들깨나물,40.4,샐러드,25.04,1.00576,1.40092,2.35868,1.4626,44.497,0.39409,31.056,1.568083333,0.020191,0.031922,0.68832,240.62961,744.01709
고구마스틱,35,샐러드,53.9,0.3535,0.0385,13.0165,0.945,5.25,0.1575,2.45,0.933333333,0.02275,0.00945,2.492,14.833,1.9215
고사리나물,40.7,샐러드,33.701,1.62071,2.45804,1.9767,1.5066,21.376,0.48414,24.199,9.102500001,0.012171,0.117722,0.97997,1002.20511,15.7186
고사리들깨나물,40.7,샐러드,43.569,1.79307,3.33372,2.33696,1.8822,17.573,0.59613,24.269,8.823833335,0.015325,0.086104,0.903,1038.3132,757.50102
고사리들깨볶음,40.5,샐러드,42.455,1.74115,3.2435,2.2933,1.854,15.865,0.58335,24.265,8.821666668,0.014635,0.08024,0.903,1002.0511,757.158
