name,Energy,Carbohydrate,Fat,Saturated Fatty acid,Trans fatty acid,Protein,Total Dietary Fiber,Calcium,Iron,Sodium,Phosphorus,Vitamin A,Total Ascorbic Acid,Vitamin D (Ergocalciferol + Cholecalciferol),group,rice_group,soup_group,main_group,sub_group,kimch_group,snack_group,dairy_group
소고기채소볶음,86.4,4.5777,5.3632,1.6744,0,1.3483,1.505,10.1,0.9665,13.9,84.25,32.5125,34.1035,0,4,0,0,1,0,0,0,0
소고기채소볶음밥,307.39,41.397,11.0378,3.7036,0,5.210185,1.619,18.55,1.3244,168.94,98.4,105.4,3.0915,0,2,1,0,0,0,0,0,0
소고기채소죽,177.44,26.8943,4.9238,1.1655,0,1.0369,0.815,8.81,0.828,12.52,64.43,27.16833333,2.2405,0,0,0,0,0,0,0,0,0
소고기채피망볶음,88.05,2.3727,5.9487,1.9259,0,1.7936,1,7.7,0.993,15.2,70.15,28.625,6.233,0,4,0,0,1,0,0,0,0
소고기청경채볶음,97.85,0.6927,8.5857,3.0054,0,1.034575,0.395,21.35,0.65,18.55,46.85,42.03333333,4.053,0,4,0,0,1,0,0,0,0
소고기카레라이스,275.25,43.3658,8.0748,1.3131,0,3.194025,1.105,18.75,1.587,13.9,79.8,50.12916667,3.4255,0,2,1,0,0,0,0,0,0
소고기콩나물국,59.92,2.4126,3.4083,0.995,0,0.738697,1.184,57.78,0.8678,100.19,89.37,15.66166667,0.8633,0.0256,3,0,1,0,0,0,0,0
소고기콩나물밥,306.85,39.2604,11.5542,3.803,0,5.825585,0.904,30.34,1.6044,164.47,115.22,11.49,1.4925,0,2,1,0,0,0,0,0,0
소고기탕국,71.51,1.35,4.6605,1.2979,0,1.142887,0.702,17.73,0.7354,12.1,70.35,2.911666667,1.358,0,3,0,1,0,0,0,0,0
소고기토마토볶음,111.05,4.0427,8.6367,3.0224,0,1.237675,1.375,10.45,0.779,17.95,55.55,59.25,6.624,0,4,0,0,1,0,0,0,0
소고기파프리카볶음,80.05,2.8882,5.3192,1.6604,0,1.247975,0.76,5.9,0.8295,12.7,62,30.3125,31.1865,0,4,0,0,1,0,0,0,0
소고기파프리카볶음밥,290.32,41.8132,8.7428,2.1882,0,5.455641,0.87,7.96,1.2248,158.04,91.78,15.755,60.984,0,2,1,0,0,0,0,0,0
소고기하이라이스,230.4,34.6208,7.0413,2.0736,0,2.8932,1.105,9.9,0.87,14.05,57.6,49.89166667,3.406,0,2,1,0,0,0,0,0,0
소떡범벅,128.45,13.0626,6.2901,1.7328,0,1.104377,0.26,10.1,0.2169,267.09,60.28,1.4,8.7974,0.0875,4,0,0,1,0,0,0,0
소면1/2,15.12,3.0372,0.0576,0.0168,0,0.05112,0.18,0.84,0.0336,8.16,3.12,0,0.0096,0,5,0,0,0,1,0,0,0
소면사리,31.5,6.3275,0.12,0.035,0,0.221875,0.375,1.75,0.07,17,6.5,0,0.02,0,5,0,0,0,1,0,0,0
소면채소무침,92.11,15.4872,2.3104,0.37,0,0.767566,1.412,16.58,0.3861,94.91,35.37,40.83,5.426,0,5,0,0,0,1,0,0,0
소보로비빔밥,281.01,36.6874,9.8707,2.8511,0,4.47191,0.129,20.63,1.3024,188.4,105.14,38.67166667,1.8075,5.225,2,1,0,0,0,0,0,0
소불고기,122.47,3.102,9.9273,3.5516,0,1.468312,0.997,10.48,0.9415,163.56,67.88,54.5025,1.5305,0,4,0,0,1,0,0,0,0
소세지전,274.35,1.906,26.6145,3.911,0,1.1244,0,6.7,0.405,263.1,99.1,13.6,11.75,2.09,4,0,0,1,0,0,0,0
소세지채소볶음,97.6,6.1776,6.2641,1.7138,0,1.005827,0.88,12.75,0.3234,216.34,65.83,30.4625,39.8889,0.0875,4,0,0,1,0,0,0,0
소시지브로콜리볶음,99.7,6.2181,6.2866,1.7273,0,1.245227,1.375,22.5,0.4629,217.24,78.28,31,18.2874,0.0875,4,0,0,1,0,0,0,0
소시지케찹조림,91.13,4.4875,6.2266,1.7033,0,0.968942,0.453,11.05,0.2392,264.17,59.33,24.4,9.5364,0.0875,4,0,0,1,0,0,0,0
소시지피망볶음,92.05,4.8088,6.2318,1.706,0,0.987387,0.81,12.7,0.2966,205.86,61.27,26.49166667,12.6736,0.0875,4,0,0,1,0,0,0,0
쇠고기가래떡볶음,130.5,8.3527,8.6272,3.0264,0,1.07115,0.43,6.95,0.615,54.6,46.95,29.5,0.939,0,4,0,0,1,0,0,0,0
쇠고기가지덮밥,329.04,46.716,11.0318,3.7111,0,5.334935,2.294,28.7,1.3919,169.59,107.2,55.5875,6.608,0,1,1,0,0,0,0,0,0
쇠고기가지불고기,102.98,1.821,8.5753,3.006,0,1.018785,0.599,8.26,0.7029,158.11,51.03,7.185,0.788,0,4,0,0,1,0,0,0,0
쇠고기감자조림,110.79,3.5254,8.5692,3.0059,0,1.06426,0.564,5.3,0.7249,157.69,47.7,6.5,2.302,0,4,0,0,1,0,0,0,0
쇠고기곤약조림,89.46,1.1096,7.5729,2.856,0,0.98866,0.504,17.33,0.6484,158.05,42.69,6.509166667,0.22,0,4,0,0,1,0,0,0,0
쇠고기굴소스덮밥,172.07,12.7782,10.9728,3.7227,0,1.719416,2.51,31.01,1.0383,163.49,86.53,109.1633333,8.514,0,1,1,0,0,0,0,0,0
쇠고기굴소스조림,109.52,3.6671,8.5812,3.007,0,1.025916,0.865,8.61,0.7018,153.89,48.23,32.83,5.243,0,4,0,0,1,0,0,0,0
쇠고기김무침,65.11,0.7918,5.31,2.1674,0,0.633002,0.048,6.18,0.603,109.44,39.93,17.81416667,1.801,0,4,0,0,1,0,0,0,0
쇠고기김주먹밥,329.09,40.1062,14.0675,4.1431,0,4.891915,1.619,22.74,1.4629,171.85,107.25,117.58,4.6615,0,1,1,0,0,0,0,0,0
쇠고기단호박볶음,119.37,6.0026,8.7357,3.033,0,1.064291,1.575,8.81,0.6918,153.69,52.48,105.9883333,3.9715,0,4,0,0,1,0,0,0,0
쇠고기단호박조림,134.23,4.9392,10.726,3.3254,0,1.070285,1.599,10.06,0.7679,159.26,57.13,105.9766667,3.9715,0,4,0,0,1,0,0,0,0
쇠고기달걀장조림,111.21,3.8837,6.0932,1.2322,0,2.256427,0.738,20.8,0.6416,290.21,118.99,80.95166667,1.5845,5.225,4,0,0,1,0,0,0,0
쇠고기당근볶음,98.95,1.0677,8.5807,3.0044,0,0.998575,0.465,6.35,0.602,17.45,43.05,75.45,0.653,0,4,0,0,1,0,0,0,0
쇠고기당면국,100.89,12.4634,3.7484,1.1653,0,0.805965,1.025,16.05,0.9988,14.09,45.71,39.65166667,2.6691,0,3,0,1,0,0,0,0,0
쇠고기당면조림,140.78,11.1855,8.5923,3.01,0,1.01351,0.789,21.36,1.1739,160.86,52.88,29.62666667,2.901,0,4,0,0,1,0,0,0,0
쇠고기된장죽,187.2,25.8363,5.9603,1.4505,0,1.35194,0.545,10.59,1.076,164.9,73.54,27.76833333,1.236,0,0,0,0,0,0,0,0,0
쇠고기떡국,259.89,35.6468,8.2298,2.3264,0,3.685642,0.522,27.94,1.1794,235.9,124.71,55.8325,1.827,6.27,3,0,1,0,0,0,0,0
쇠고기떡볶음,127.35,7.7682,8.6462,3.0289,0,1.062575,0.83,8.4,0.7085,41.55,53.1,35.5625,31.2915,0,4,0,0,1,0,0,0,0
쇠고기떡조림,146.82,9.4236,9.6421,3.1754,0,1.154075,0.91,11.33,0.889,520.01,68.59,35.57166667,31.2915,0,4,0,0,1,0,0,0,0
쇠고기무죽,178.89,24.3568,5.8433,1.4495,0,1.333375,0.09,7.41,0.836,14.62,66.23,2.568333333,1.287,0,0,0,0,0,0,0,0,0
쇠고기볶음우동,157.15,10.7425,10.4985,2.9725,0,0.845075,1.045,10.1,0.573,272.25,46.6,28.33333333,2.347,0,4,0,0,1,0,0,0,0
쇠고기봄동국,80.8,2.0438,5.9403,1.4539,0,0.897912,0.707,31.64,1.0029,273.37,56.03,22.17166667,6.077,0,3,0,1,0,0,0,0,0
